TransactionID,DeviceType,DeviceInfo,id_15,id_23,id_30,id_31,id_33
3000067,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000068,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000069,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000070,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000071,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000072,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000073,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000074,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000075,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000076,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000077,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000078,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000079,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000080,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000081,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000082,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000083,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000084,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000085,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000086,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000087,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000088,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000089,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000090,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000091,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000092,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000093,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000094,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000095,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000096,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
3000097,desktop,Windows,Found,,Windows 10,chrome 63.0,1920x1080
